WKT,label,fillColor
"POLYGON((120.0803247126762440 -23.362719720560832,120.0812081619867705 -23.362612925925596,120.0821090663878926 -23.361748229098330,120.0822485134520252 -23.355713543368487,120.0821541117770341 -23.355397463776801,120.0816804104875410 -23.354807461169725,120.0790714991979058 -23.354659677781009,120.0790561215844717 -23.354329670932086,120.0792398556698619 -23.353769728047317,120.0839710116142386 -23.349795964082192,120.0852376276935475 -23.347869528972991,120.0931912741102767 -23.343482038244965,120.0926319026763358 -23.334367928548236,120.0934094555663369 -23.333185986613185,120.0941300351595924 -23.331244267620782,120.0951648020784647 -23.328504021420083,120.0953922524588834 -23.327918423604538,120.0953829366152400 -23.324690455896403,120.0953711599571889 -23.322665878698474,120.0958532320224398 -23.322664928565386,120.0958440067666859 -23.327935720771202,120.0934366449373864 -23.334621143998088,120.0940654598543060 -23.343782004286996,120.0857591637711978 -23.348591612718934,120.0846641890415488 -23.350469332364688,120.0803866212141933 -23.354101849986523,120.0816451654377762 -23.354281259053986,120.0818739334181617 -23.354372477339338,120.0819506169017557 -23.354456786652505,120.0822449214145297 -23.354670690830393,120.0824271415599463 -23.354857269005827,120.0826382231718301 -23.355183337541460,120.0827137444637931 -23.355435496950078,120.0828527237526445 -23.355448639695037,120.0831902440417490 -23.355468226707850,120.0832065979140709 -23.355772229656972,120.0828766082335269 -23.355749119172195,120.0827211605101602 -23.362356701748416,120.0810092008009256 -23.363615747329542,120.0803247126762440 -23.362719720560832 ))",AOZ_LINK,#ef2231
"POLYGON((120.0440196643094656 -23.338345000783234,120.0431950927712334 -23.338455119365517,120.0427735252893256 -23.337933812844000,120.0391112355452730 -23.338668105526116,120.0386231382653567 -23.336366653408214,120.0393617263985491 -23.336045911963630,120.0433981466995677 -23.335798358130564,120.0441949102606384 -23.335221085201029,120.0434098378158970 -23.335134540129343,120.0436095001454099 -23.334373967539146,120.0445834419019952 -23.334625780366453,120.0467983949453819 -23.336107535505504,120.0489660990671161 -23.334575051020136,120.0535584898136770 -23.332293277541903,120.0547286894883852 -23.330624648891519,120.0541252067609835 -23.330085245903968,120.0545214791802764 -23.329699954219379,120.0535755540870097 -23.328672990729973,120.0475916878115399 -23.326228009785974,120.0494112373623321 -23.322192956648110,120.0614474961426099 -23.323718590190939,120.0645825609153502 -23.323457208191240,120.0882575576490458 -23.318626963291488,120.0869724926193567 -23.313908756097121,120.0867942831576072 -23.313733192200481,120.0839066257297058 -23.312049739736200,120.0879444212774390 -23.304719720028681,120.0963357883664434 -23.303951302892595,120.1083472371100790 -23.304511829943017,120.1097842676362434 -23.313228411723620,120.1187630275086063 -23.309394921032563,120.1226644365863476 -23.309954420877931,120.1244040966587625 -23.311886860458308,120.1260537677733841 -23.310804711445240,120.1272816743394848 -23.310613938810456,120.1286221783964141 -23.310803978758876,120.1298034573524406 -23.313841099500773,120.1269633270956711 -23.314949591735510,120.1200067375040976 -23.315777913529902,120.1189731195901305 -23.323893324623599,120.1145061251153104 -23.326358803196064,120.1036555731269293 -23.322525280888724,120.0953820220394081 -23.322752734918255,120.0953843848396592 -23.324414437877951,120.0950298472257301 -23.324401266334617,120.0952121342381874 -23.324134225763750,120.0952234653979854 -23.323928721690731,120.0942583409445263 -23.323897034225708,120.0942805223075942 -23.325038297944270,120.0930885948731447 -23.325046402933741,120.0930987478621296 -23.324774445497924,120.0932471065196097 -23.324644746230766,120.0930843433117470 -23.324371574057549,120.0930265142503979 -23.323970520811849,120.0928330587348516 -23.323959921737086,120.0928470718021589 -23.322924738856711,120.0928079291306905 -23.322611261921579,120.0926498784151925 -23.322601104198704,120.0925623562970459 -23.324207845975506,120.0630104932181197 -23.325205858443173,120.0629705225516238 -23.328526478112093,120.0611476812388404 -23.331619352368411,120.0572075437869140 -23.332518955655410,120.0554190941754511 -23.332229904685469,120.0549834071406757 -23.332616471678726,120.0553594006326916 -23.333171740373323,120.0561267460797694 -23.334331481622939,120.0568684970438629 -23.335930583025500,120.0513854597012107 -23.340342018232881,120.0499079068787519 -23.338330228952749,120.0473231210585680 -23.339148364864892,120.0469123141302523 -23.338659288929306,120.0450859661577858 -23.339093023036381,120.0440196643094656 -23.338345000783234 ))",AOZ_OB18,#d887dd
"POLYGON((120.1163338833926779 -23.382456760824994,120.1181066676891871 -23.382499504184162,120.1204061055564618 -23.382295424064715,120.1232838675558322 -23.382291081806463,120.1232598714600414 -23.381788081102155,120.1232830151233169 -23.381264571040515,120.1240108788246567 -23.380007160546149,120.1233276020976350 -23.379664793868837,120.1231634362945520 -23.378902609550622,120.1235071851342369 -23.378469749833975,120.1244761428854812 -23.378779620779241,120.1248251131722520 -23.378902135526734,120.1261778787239859 -23.366714538526081,120.1262609793263911 -23.366243199183937,120.1285427090269734 -23.365954341475771,120.1393215977466138 -23.365874158639135,120.1419007431202045 -23.369829584943052,120.1419944069201777 -23.370798915440190,120.1409744362333744 -23.372514813379313,120.1376212461380976 -23.372422590295441,120.1375001353381038 -23.373410943034852,120.1423564703750568 -23.373606842094561,120.1428466268992414 -23.374553035445159,120.1370876505938849 -23.374133654388819,120.1361613576611426 -23.375589399101229,120.1356912734331780 -23.377843270671596,120.1313374280150599 -23.381606731063065,120.1299837613467231 -23.383449401558618,120.1336985505499644 -23.383843091264561,120.1354597269889318 -23.384336386790350,120.1387195701723803 -23.385237638054884,120.1378987945101405 -23.387945408974361,120.1362966537586775 -23.387564028116895,120.1361527189745480 -23.388026987810396,120.1338642662707856 -23.387254484351523,120.1327440730808560 -23.387914736088220,120.1311598637505332 -23.388023536435174,120.1252395865936111 -23.387262181540415,120.1251781653038784 -23.385815476755771,120.1243624863656784 -23.385815709443189,120.1241560359578299 -23.385994814104498,120.1236597816298882 -23.385984120827960,120.1236456863821702 -23.385814288697235,120.1234595561395883 -23.385657507453308,120.1223021501541730 -23.385620276838320,120.1221359371266151 -23.386389598050609,120.1215135519339586 -23.386896575341841,120.1202124749556582 -23.386888007753153,120.1202201255174098 -23.385775176985289,120.1196210836770313 -23.385818506661130,120.1196088723820939 -23.383157202026601,120.1182729803418658 -23.383190990544523,120.1185661510683912 -23.383989254202414,120.1185904536096828 -23.384683399493972,120.1183400762201848 -23.384667038074707,120.1178208407686806 -23.384694995624509,120.1177880839588518 -23.384801637874416,120.1184228339782543 -23.384904929543413,120.1183957618863971 -23.385189442164610,120.1182953540039363 -23.385717849946285,120.1186635438534681 -23.386575412964695,120.1183458211718093 -23.387162210306647,120.1165730794071854 -23.386309020737978,120.1163454027488976 -23.386444882375974,120.1161928172654243 -23.386262449102889,120.1165153439310549 -23.385846118574629,120.1166275095744265 -23.385631105249784,120.1166503228942414 -23.384566033752544,120.1164911847359847 -23.384385679026821,120.1162779672043890 -23.384290573820291,120.1163338833926779 -23.382456760824994 ))",AOZ_W4_PC2,#da176b
"POLYGON((120.0364147422663588 -23.339249170841153,120.0369402286323583 -23.340530782770039,120.0298350994867620 -23.343138589190490,120.0292585542065821 -23.341774466445592,120.0364147422663588 -23.339249170841153 ))",AOZ_OB18_CALPAD,#52c62c
"POLYGON((120.0785330191841346 -23.363624670127896,120.0782779715562789 -23.363964866639990,120.0784610782793347 -23.364244533915171,120.0781307566843387 -23.365090919612496,120.0775974426285455 -23.366627181504573,120.0772371524259022 -23.366875041009199,120.0762667643013560 -23.367102939807036,120.0755042222340145 -23.367538898573761,120.0742935898003898 -23.368620651471916,120.0740234569466151 -23.368615852853285,120.0729420888010872 -23.367800388005315,120.0724881786165287 -23.367721423143404,120.0718828841428793 -23.367864073989856,120.0710719277648525 -23.368274945849866,120.0708328974342849 -23.368286210041281,120.0691188341108809 -23.365947637156760,120.0692628041731476 -23.364567869221460,120.0670384557011175 -23.364427560518676,120.0670315408899839 -23.364855990210338,120.0668568643212039 -23.364856040040042,120.0663962081522170 -23.364812832081842,120.0661360468621064 -23.364744014759245,120.0661795439605991 -23.364372457553419,120.0643021113410032 -23.364346357471832,120.0638160328716735 -23.364399045119377,120.0635826248994594 -23.365107890964583,120.0537201037807660 -23.364474247740576,120.0533036302996377 -23.364073657966200,120.0530765894889688 -23.363494329546544,120.0532104582682979 -23.363144687116012,120.0551875673177979 -23.363389803156425,120.0609744161520685 -23.363788770642116,120.0612449892962636 -23.363079101581696,120.0620925571613727 -23.363153259047223,120.0620680496470057 -23.363755863846065,120.0686908128542697 -23.364010399180054,120.0689520273820037 -23.362313768954300,120.0767430308057110 -23.362284007870007,120.0785330191841346 -23.363624670127896 ))",AOZ_Bulking,#bf646a
"POLYGON((120.0946349404534875 -23.384965709107861,120.0878799497300205 -23.384747147054202,120.0774787676033767 -23.381820011687481,120.0749369668119605 -23.380494461805949,120.0724210755544403 -23.373310505349871,120.0724438544089320 -23.373174160420632,120.0712138593010995 -23.372856508680469,120.0713582012288524 -23.371193048353868,120.0713024908403336 -23.368874046851765,120.0715803106231240 -23.368299269509632,120.0720582603159072 -23.368083700386401,120.0729696571258965 -23.367621695534817,120.0742331442022557 -23.368573717732221,120.0755159563555879 -23.367505668376941,120.0763628034894457 -23.367050363425369,120.0772349025575206 -23.366869263068503,120.0775670225358139 -23.366578975134626,120.0780074411525477 -23.365301241019760,120.0784231300472727 -23.364236057447537,120.0781911195355555 -23.363924531628891,120.0784577067253304 -23.363566454335277,120.0797607918383640 -23.362904434908612,120.0804858976764166 -23.362797053411302,120.0810039163846112 -23.363571145403251,120.1068604429644962 -23.356294402843257,120.1086857899718934 -23.358392591065685,120.1074003276485225 -23.359321594035269,120.1072056201554158 -23.359596403119558,120.1061284221767102 -23.362564554272330,120.1057409251205784 -23.362555003745354,120.1028465272108675 -23.365290272728535,120.1066383815623039 -23.372798729878295,120.1134427531370619 -23.364269316534517,120.1196016141611080 -23.359906987068061,120.1273689122870750 -23.360770023744310,120.1282316360428677 -23.363659430054111,120.1263647205359726 -23.365832348489356,120.1262139687562548 -23.366723918427318,120.1229818388255782 -23.366334966712936,120.1206493360326772 -23.369298239124091,120.1238844260071561 -23.372935836850268,120.1142801566313399 -23.380223563385863,120.1164103717316380 -23.382547841970211,120.1163332283692578 -23.384324868389695,120.1152097551477192 -23.384214944361598,120.1152219188568806 -23.384744403514377,120.1133677309981496 -23.384243098680500,120.1132686563392577 -23.382809225867122,120.1096699997919986 -23.383005279609877,120.1090413287938610 -23.384559265613220,120.1098648886595992 -23.385389972784838,120.1095295368089201 -23.385616245781271,120.1093243467161320 -23.385632195417428,120.1090319591659010 -23.386279028615986,120.1087441317662241 -23.386389174662837,120.1079481115605074 -23.386393555098420,120.1079301324719760 -23.386638517951601,120.1064223011465025 -23.386654658609422,120.1064579123728391 -23.385379658393510,120.1080368443066038 -23.385329187119266,120.1091208253389773 -23.382868826969781,120.1086806080992332 -23.382797081429847,120.1085014631301286 -23.383245062969308,120.1081641396482320 -23.383243082518944,120.1080944681686085 -23.384155486398516,120.1066185165088919 -23.384110220522881,120.1067115381388733 -23.382833849574319,120.1069450837237251 -23.382708730813963,120.1064682879589651 -23.382635280192042,120.1062504846916506 -23.382701705732971,120.1062396622402664 -23.383195958205789,120.1055201238586834 -23.383195892596290,120.1055133839210978 -23.383320314623702,120.1061851002978693 -23.383375741860934,120.1061722281597205 -23.383931302067307,120.1054951369710948 -23.383939892222734,120.1055245848012736 -23.384072700929632,120.1062151756373841 -23.384105189033232,120.1062360398807843 -23.384576679298196,120.1054130267840861 -23.384592805179726,120.1060874312252652 -23.385342925616554,120.1061300797320702 -23.386869362137080,120.1053006083463058 -23.386837455393822,120.1050273040585669 -23.386220759966047,120.1033501269056446 -23.385526725025962,120.0976604190065153 -23.385455122644502,120.0966575550494725 -23.385607367391895,120.0957548621365984 -23.384626620229814,120.0946349404534875 -23.384965709107861 ))",AOZ_W1_W2_W3_PC1,#49d905
"POLYGON((120.0734684705900790 -23.386513906440652,120.0734867286977999 -23.386057934955820,120.0740385355128466 -23.386072314289411,120.0752960902262121 -23.386083422423475,120.0775701167661315 -23.386136135313473,120.0797072161485635 -23.386150242993908,120.0813301640863545 -23.386166483733237,120.0813445502683747 -23.386300019059562,120.0814030371664214 -23.386308309087460,120.0813614469134018 -23.387392256624683,120.0813561719676007 -23.387486521256692,120.0811759290876798 -23.387610812198305,120.0809023658055300 -23.387498749620381,120.0736175767893535 -23.387306793774493,120.0734750371073292 -23.386714800600091,120.0734684705900790 -23.386513906440652 ))",AOZ_WSHOP_CALPAD,#5fe3fb
"POLYGON((120.0979098215887728 -23.388386959800069,120.0978988932614388 -23.388762841651938,120.0972737353970550 -23.388768617991524,120.0971436240952021 -23.389718780479701,120.0957060174285382 -23.389763342565450,120.0953681371405814 -23.388767355791437,120.0895979366412861 -23.388687830821016,120.0900311278167259 -23.391858975270014,120.0927667776711523 -23.391795262500409,120.0954723566680729 -23.392501915590256,120.0981724110729240 -23.392510445256313,120.1045030964575017 -23.393651083132659,120.1045508809727860 -23.395914197168026,120.1004596795451498 -23.395995812961888,120.0921040455860927 -23.397276707941011,120.0898841650217728 -23.396681244300470,120.0898859344508713 -23.398246878495167,120.0899572172403126 -23.400883878173843,120.1009197289423048 -23.398614643667388,120.1078177775821425 -23.399853626466698,120.1016947674975793 -23.405021787095442,120.0889274138201382 -23.406133562704984,120.0853595378031202 -23.415965213425787,120.0731789429140980 -23.416188364590309,120.0724554268009470 -23.412358183394016,120.0769560709941137 -23.408537888494243,120.0778997691002625 -23.399855931094551,120.0791360750222667 -23.395190998263102,120.0801406176134018 -23.395273056499656,120.0801937917698014 -23.394821408991263,120.0793642174083549 -23.394713658381905,120.0796446620846863 -23.392473203881767,120.0818143378745841 -23.391169514585296,120.0836694543009636 -23.390945516758621,120.0889769599605987 -23.391204670940546,120.0889347832292196 -23.387991339643569,120.0813688132457831 -23.387848130509320,120.0814083087131825 -23.386164204182251,120.0734755782428739 -23.386044936326040,120.0732600072506637 -23.387293261934665,120.0720330537597818 -23.387118087501897,120.0704049699428229 -23.386367065345077,120.0682242489843768 -23.384899295445217,120.0634346273544855 -23.379137157749192,120.0631722250823097 -23.377758769803998,120.0641728084326101 -23.375715936031758,120.0633354034580368 -23.375515008013214,120.0624393520391195 -23.374400448655221,120.0623783442100083 -23.373279962793527,120.0627757996277363 -23.373031912106136,120.0642461872969750 -23.374669540212581,120.0643595368378031 -23.374604950276034,120.0641928325411666 -23.373907143702773,120.0644653114778713 -23.373894425323900,120.0646280299617142 -23.374945900342017,120.0646695379703983 -23.376958279861045,120.0644714175852094 -23.378817053559790,120.0669330635576163 -23.382219394687711,120.0695469169356927 -23.384562676859918,120.0728474485965824 -23.385498136560631,120.0828944011204141 -23.385758015406268,120.0830725104143841 -23.385898907836408,120.0831891021417137 -23.386049569173556,120.0833057232288663 -23.386630734899503,120.0851360268160761 -23.386834630128122,120.0872228959297212 -23.387443946136445,120.0888028083403853 -23.387429319852148,120.0894449014854348 -23.384780017762732,120.0900024785863709 -23.384792860514263,120.0897074446946133 -23.388224971238726,120.0979098215887728 -23.388386959800069 ))",AOZ_SOUTH_JIMBLEBAR,#611d28
"POLYGON((120.1386756584925683 -23.385266543494060,120.1336767425663897 -23.383874428237749,120.1298828294170651 -23.383464147678643,120.1312869629523312 -23.381627331659352,120.1356675057150255 -23.377820795154188,120.1361433554135729 -23.375494779948060,120.1409558694056204 -23.377048568108596,120.1446771008764248 -23.375821273291677,120.1423656069747640 -23.374206548004545,120.1419457035048041 -23.369402859914874,120.1668722820166941 -23.361613804312746,120.1826411971105329 -23.363080316350537,120.1861009861624218 -23.363076259510123,120.1868301256953954 -23.363317307329556,120.1874985577232409 -23.363973346923594,120.1876186527735732 -23.365300129383336,120.1919934898975228 -23.366745332815732,120.1935272054633831 -23.367670371400666,120.1891035716358716 -23.373499875529456,120.1892050052603448 -23.373671037100579,120.1997716926028925 -23.374054736335262,120.2021694067894234 -23.379353463958845,120.2022348848169021 -23.380052382892982,120.2024172028455985 -23.380240134815065,120.2026100684013476 -23.380204685978730,120.2065588979045764 -23.374820448730765,120.2065921014396020 -23.374093692217557,120.2044841843604210 -23.373187146375571,120.2018919535134752 -23.370961416073127,120.1944875244796577 -23.367510283529397,120.1929053045855389 -23.362372040097196,120.2093113808006638 -23.364877702612130,120.2106456160003980 -23.362060985345010,120.2105773985341965 -23.361348162478179,120.2144972372072650 -23.359663941825015,120.2255194762168260 -23.364118432194857,120.2280862487102067 -23.365911408103796,120.2284725046447698 -23.366365548676874,120.2341222427472016 -23.366902338352704,120.2341372805135252 -23.370853710726828,120.2263218991107765 -23.369083179441713,120.2220569610975667 -23.370041022370576,120.2225616947342035 -23.375354465586899,120.2220373916968059 -23.378517215304961,120.2133682607837717 -23.373510469908879,120.2096005901171817 -23.377860198917878,120.2181337729772476 -23.381409967689347,120.2200254686560321 -23.379764247549008,120.2210946941270369 -23.380358685079800,120.2182548057693905 -23.383580061766987,120.2174759699171609 -23.383158989162940,120.2175391401078490 -23.383002136801480,120.2151554018485206 -23.381860011824474,120.2148156141724321 -23.381577770825214,120.2146844401701655 -23.381286441279892,120.2148424387547361 -23.380532200899667,120.2141964353663024 -23.380340969638290,120.2125636045362363 -23.380254846985978,120.2117076244849646 -23.380164439656866,120.2105534193741690 -23.379736702357422,120.2088635197471000 -23.378924571266560,120.2131901810219360 -23.385275353543290,120.2133717827636614 -23.387866995994875,120.2039432643305406 -23.387962775005813,120.2027749919741332 -23.382039429169293,120.1976306221875630 -23.383215574171735,120.1951584734952001 -23.384995721650032,120.1942376591566503 -23.386475120871733,120.1828243315367880 -23.386711687002272,120.1817856151308477 -23.387470061108577,120.1797296941534663 -23.387481211569001,120.1792734760597905 -23.383677228613393,120.1717153326315691 -23.383567695547681,120.1715703076037187 -23.382385294472133,120.1660994027461928 -23.384000163153542,120.1657413863222064 -23.384604398027915,120.1650599101521433 -23.384850001607599,120.1654455323758029 -23.386050662989779,120.1634996803649822 -23.386653183855011,120.1620959105616884 -23.386652952273701,120.1618768001255188 -23.386195513566632,120.1620783442941623 -23.385780662196482,120.1618037107553414 -23.385750402982559,120.1613928693740179 -23.386190234195673,120.1613424622365943 -23.387060196114411,120.1600453051153836 -23.387164941798966,120.1542741976495848 -23.388127458036897,120.1378224073734503 -23.387904168074443,120.1386756584925683 -23.385266543494060 ))",AOZ_W5,#a59abd
